target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,advanced,,30501,0,0,0,14.593996416,33.359278389,12.948319485,0,0,10.364757841,457
0,OTHER,elementary,,100000,0,0,,,36.01369863,1.3552511416,,,11.652054795,458
0,OTHER,advanced,Corporate,33072,0,1,1,0.6307123656,46.463013699,14.465753425,1,1,1.386518452,466
0,2NDFL,elementary,,43761,0,0,0,0.7270609319,26.389767198,1.4610000749,0,0,6.0363425406,472
0,OTHER,beginner,,19000,0,0,,,31.912568306,7.0642188787,,,9.6779175088,478
0,OTHER,advanced,,35000,0,0,0,,51.37380792,15.81147541,0,0,6.2368216184,481
0,OTHER,elementary,Corporate,187238,0,1,,,31.868493151,4.6760236545,,,11.8,482
0,OTHER,elementary,VIP,231214,0,1,0,3.7966845878,44.897282731,3.0781046486,1,1,9.5602964294,484
0,OTHER,beginner,Corporate,53382,0,1,0,56.145116487,51.520547945,1.5184070664,1,1,5.8082191781,486
0,OTHER,elementary,,100000,0,0,0,0.9568324373,32.841821993,4.9020959653,1,1,11.288397335,496
0,OTHER,elementary,,34800,0,0,0,0.8605062724,30.804678494,0.7635826035,0,0,10.053993562,497
0,OTHER,elementary,Corporate,22023,0,1,,,35.720547945,6.3863013699,,,10.821917808,507
0,OTHER,elementary,Corporate,90927,0,1,0,0.9924731183,35.077438431,0.5573770492,0,0,11.036342541,520
0,2NDFL,elementary,,82209,0,0,1,-0.750403226,45.335077476,3.298630137,2,2,0.2657534247,522
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,528
0,2NDFL,elementary,,20950,0,0,0,5.5660170251,26.656733288,0.3772812336,0,0,6.4813908227,547
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,550
0,2NDFL,advanced,,14740,0,0,,,47.967123288,0.4354143274,,,2.9424657534,559
0,OTHER,elementary,Corporate,99909,0,1,1,1.1501120072,35.127764054,2.0291339172,0,0,6.2757092597,560
0,OTHER,high,Corporate,39344,0,1,,,26.64109589,9.0359532899,,,6.2438356164,562
0,OTHER,advanced,Corporate,28178,0,1,,,25.587880829,0.8015794595,,,5.5358260349,564
